[2026-05-15 11:14:36] 开始执行论文搜索任务
搜索关键词: ISAC
搜索日期范围: 2026-05-14
正在获取论文...
[YES] 10/100 | Robust Adversarial Defense for Deep Learning-Based Beamforming in Next-Generation Wireless Networks: Knowledge Distillation Meets TRADES
[YES] 11/100 | Diffusion Bridge-Based Joint Estimation and Detection Design for Superimposed-Pilot OFDM Receiver
[NO] 12/100 | Cross-Frequency Feature Learning for Dual-Band Radar HRRP Target Recognition
[NO] 13/100 | Efficient Ambiguity Resolution for BDS-3/INS positioning with Multi-frequency Measurements
[YES] 14/100 | GNSS-Spoofing Detection via Machine Learning with In-Domain and Cross-Domain Testing and Open-Access I/Q Data
[NO] 15/100 | Predicting Tactile Sensory Outcome of Physical Human-Robot Interaction through Embodied Learning Strategy_supp2-3692059.mp4
[NO] 16/100 | MalElves: Reinforcement Learning-Driven Adversarial Example Generation for Evading Cross-Platform ELF Malware Detection
[NO] 17/100 | Disturbance Perception and Accurate Modeling of Magnetic Suspension Flywheel Battery Based on Dynamic Coupling Preview Matrices
[NO] 18/100 | Deep Spatio-Temporal and Frequency Guided Fusion Network for Event-to-Video Reconstruction
[NO] 19/100 | Curiosity-Driven Reinforcement Learning for Autonomous Navigation in Magnetically Controlled Capsule Endoscopy
[NO] 20/100 | On the Convergence of the Fast Griffin-Lim Algorithm
[NO] 21/100 | An LMI Approach to Admissibility Analysis and
                    <i>H</i>
                    <sub>∞</sub>
                    Observer-Based Control Design with Fault Estimation for Singular Fractional-Order Systems
[NO] 22/100 | Rotor Speed Estimation of Synchronous Generators Based on PMU Data and Tuning of Linearized Swing Equation Coefficients
[NO] 23/100 | Optimal Stealthy Attacks Under Periodic Detection in Cyber-Physical Systems With Round-Robin Protocol
[NO] 24/100 | Design and Implementation of Cloud-Ground-End Collaborative Zero-Trust Security Architecture for Industrial Drones
[NO] 25/100 | IoT-Integrated Smart Monitoring of Buck-Boost Converter Performance in Multi-Voltage Battery Systems
[NO] 26/100 | Design of a Compact Diamond-Shaped MIMO Antenna with Enhanced Isolation Characteristics Using Hybrid DGS and EBG Techniques
[NO] 27/100 | Research on Pipeline Risk Event Recognition Algorithm Based on CNN-Swin Transformer
[NO] 28/100 | Indian Currency Recognition with Audio Feedback for Visually Impaired People Using YOLOv5
[NO] 29/100 | AI Based Irrigation and Weather Forecasting System Using Lorawan
[NO] 30/100 | Fault Diagnosis of TRD Machine Based on TimeGAN-LSTM-LightGBM
[NO] 31/100 | An Improved DEIM-Based Algorithm for X-Ray Prohibited Item Detection
[NO] 32/100 | Robust Trajectory Tracking Control for Quadrotor UAV Based on Adaptive Dynamic Programming and Finite-Time Observer
[NO] 33/100 | CNC-MIND: An Explainable Multi-Task Digital Twin for CNC Machining
[NO] 34/100 | Hybrid RL-PID for Intelligent Lighting Control in Container-based Indoor Farming
[NO] 35/100 | Pushing Bit-Width Limits in LLM Quantization with Saliency-Guided Mix-Precision Allocation and Learnable Affine Transformation
[NO] 36/100 | Sparse2Dense: A Keypoint-Driven Generative Framework for Human Video Compression and Vertex Prediction
[NO] 37/100 | A 28nm 11.2-to-20-GHz PLL-based 16-Phase Clock Generator with High-Order-Mode Ring Oscillator Achieving 24.3-fs Jitter for 320-Gsps-Sample-Rate Data Converter
[NO] 38/100 | Rapid Diagnosis of Foot-and-Mouth Disease in Livestock Using Supervised Machine Learning Algorithms
[NO] 39/100 | Distance Enhancement and Misalignment Robustness in WPT System Employing Higher Order Compensation Topology and ZVS
[NO] 40/100 | A 500kHz 600V Capacitive Isolated SiC Converter with Switching-On Transition Detection for Hard-Switching Fault Prognosis Achieving 58ns Short-Circuit Protection
[NO] 41/100 | TOKCIM: A 65nm All-Digital Compute-in-Memory Transformer Accelerator with Advanced Weight Sparsity Handling and SoftMax Acceleration
[NO] 42/100 | A 10-bit 20-GS/s 4-Channel Time-Interleaved DAC Employing Hybrid-Segmentation in 28-nm CMOS
[NO] 43/100 | Detection and Classification of Abnormal Human Actions for Video Surveillance on Edge Devices
[NO] 44/100 | ICST 2025 TOC
[NO] 45/100 | ICISES 2025 Copyright Page
[NO] 46/100 | Research on Sample Imbalanced Fault Diagnosis of Ship Water Pump Bearing Dataset Based on HCAB-SMOTE
[NO] 47/100 | Analyzing Performance–Memory–Security Trade-Offs of Convolutions for DNN Inference on Homomorphically Encrypted Data
[NO] 48/100 | EEG-Based Early Detection System for Alzheimer's and Parkinson's Disease
[NO] 49/100 | HRM Practices in Small-sized Institutes within the Education Industry: Evidence from Qualitative Case Studies
[NO] 50/100 | Ensemble ConvNeXt-LSTM Framework for Smart Surface Defect Detection in Hot-Rolled Steel Strips
[NO] 51/100 | IoT-Enabled EV Battery Monitoring System With Machine Learning-Based Predictive Analysis
[NO] 52/100 | Bio-Inspired Hybrid Antenna Synthesis for Optimizing 5G Network Slicing in Tripoli’s mmWave HetNet
[NO] 53/100 | Flow-Guided ConvLSTM with Quality-Aware Reconstruction for Learned Video Compression
[NO] 54/100 | P-MEE: A Prompt-Guided Multimodal Dynamic Early Exiting Method for Intent Recognition
[NO] 55/100 | Trend-Aware Time Series Forecasting via Frequency-Enhanced Inverted Architecture
[NO] 56/100 | The Optimal Solution of the Economic Load Dispatch Problem Using an Improved Gradient-Based Optimization Algorithm
[NO] 57/100 | Personnel Intelligent Control in Pumped Storage Power Station Construction Based on Digital Twin Technology
[NO] 58/100 | Litchi-PestDet: An Efficient Litchi Disease and Pest Detection Algorithm Based on Deep Learning
[NO] 59/100 | Synergistic Copper Sequestration by SA/PEI/GO Hydrogels: Chemisorption-Driven Langmuir Kinetics
[NO] 60/100 | A Framework for Deep Reinforcement Learning-Based Assembly Sequence Planning of Aircraft Tube
[NO] 61/100 | A Highly Sensitive and Robust Electrochemical Biosensor with Anti-Adhesion Property for BK Virus Detection
[NO] 62/100 | Objective No-Reference Error Estimation at the Macroblock Level for Compressed Videos
[NO] 63/100 | Aphrophoridae Foam Detection using YOLOv11 for Sustainable Management of Xylella Fastidiosa Vectors
[NO] 64/100 | Multi-Index Vegetation Monitoring and Stress Detection for Smallholder Rice Farms in Telangana Using Sentinel-2
[NO] 65/100 | Non-Invasive Thermal Monitoring of Dairy Cows’ Core Body Temperature with Multi-Modal Sensing
[NO] 66/100 | Towards Efficient 3D Gaussian Human Avatar Compression: A Prior-Guided Framework
[NO] 67/100 | TCROC–Markov: A Two-Stage Framework for Economic Regime Analysis
[NO] 68/100 | Comparative Security Analysis of Cross-Chain Protocols: An Empirical and Metrics-Based Approach
[NO] 69/100 | MI-STA 2026 Conference Proceedings
[NO] 70/100 | THReaD: A 22.8 Mbps/node Two-dimensional Hierarchical Reconfigurable and Distributed Network for E-textiles with Fault Tolerance and Cooperative Power Management
[NO] 71/100 | Imbalanced Fault Diagnosis of Rolling Bearings Fusing WGAN-GP and Self-Attention Mechanism
[NO] 72/100 | Verification of the Mold Material Model Through Simulation Studies at the Product Level
[NO] 73/100 | Synergistic Component Engineering and Surface Modification to Regulate the Crystallization Kinetics and Photovoltaic Performance of Perovskite Materials
[NO] 74/100 | Lab-on-Chip Acoustic Detection Platform: Design, Fabrication and Performance Evaluation
[NO] 75/100 | A Data-Driven Clustering Analysis of Multi-Energy Load Profiles for Typical Scenario Extraction in Renewable Energy Systems
[NO] 76/100 | Indoor Temperature Prediction Model Based on SVMD-CNN- Informer
[NO] 77/100 | Research on Control Method of Ship Integrated Power System Based on Load Current Feedforward
[NO] 78/100 | Rapid and Accurate Estimation of Acoustic Coupling in MUT Devices Using finite Element Modeling
[NO] 79/100 | IEEE Annals of the History of Computing
[NO] 80/100 | Research on Multi-Sensor Array Detection Methods for Verifying GC-IMS Analysis of Neuraminidase-Metabolized Gases
[NO] 81/100 | ASIM 2025 Cover Page
[NO] 82/100 | EWA-DA: An EWA-Learning-Based Double Auction Mechanism for Multi-Agent Task Allocation
[NO] 83/100 | Investigation of Dynamic Testing Methods for Composite Thermoelectric Devices under Multi-Condition Loading
[NO] 84/100 | Research on Multi-target Detection Method of Transmission Line Based on YOLOv5
[NO] 85/100 | A Plug-And-Play Deep Unrolling Method for Brain Source Imaging
[NO] 86/100 | Acyclic Conjunctive Regular Path Queries are no Harder than Corresponding Conjunctive Queries
[NO] 87/100 | A Logical View of GNN-Style Computation and the Role of Activation Functions
[NO] 88/100 | Frequency Moments in Noisy Streaming and Distributed Data under Mismatch Ambiguity
[NO] 89/100 | Current State-of-the-Art in Artificial Intelligence - December 2025
[NO] 90/100 | A Comparative Analysis of Decentralized Control Techniques for Grid-Forming Inverters Using Finite Control Set Model Predictive Control
[NO] 91/100 | Latency-Bound Online Consistency Verification for Always-on Financial Databases
[NO] 92/100 | Post-COVID Cardiovascular Risk Stratification Using Independent Machine Learning and Deep Learning Pipelines
[NO] 93/100 | A Hybrid Multi-Objective Optimization Framework for Energy-Aware UAV Swarm Coordination in Dynamic Environments
[NO] 94/100 | Performance Evaluation of BCH, LDPC, and Turbo Codes in LTE-Based MIMO-OFDM Systems Using 64-QAM
[NO] 95/100 | Performance-Driven Hybrid Scheduling Mechanism Using Nature-Inspired Algorithms for Mobile Edge Cloud Resource Management
[NO] 96/100 | ECOTRACK: An AI-Based Carbon Emission Tracking and Prediction System
[NO] 97/100 | Imbalanced Bearing Fault Diagnosis Using WGAN-GP With Cascaded SIMAM-GAM Attention
[NO] 98/100 | Lung Cancer Diagnosis: Visualizing Deep Learning Decision Pathways Using Yolov8
[NO] 99/100 | A Hybrid DeBERTa-BiLSTM Framework with Attention for Context-Aware Fake News Detection
[NO] 100/100 | Intelligent Cluster Maintenance and Hybrid Routing Optimization for High-Mobility MANET Environments
筛选完成：共 100 篇；Yes = 4 篇；已保存到 papers/select_paper2026-05-14.json。
邮件发送成功！
[2026-05-15 11:33:25] 任务执行成功！
