[2026-05-12 11:15:31] 开始执行论文搜索任务
搜索关键词: ISAC
搜索日期范围: 2026-05-11
正在获取论文...
[ACM] 2026-5-12 | ImMTDiff: A Diffusion Model-Based Anomaly Detection Method for Industrial Control Systems
[ACM] 2026-5-12 | KPI-Adaptive Reinforcement Learning for Handover Optimization in Ultra-Dense 5G Networks
[ACM] 2026-5-12 | Adaptive Thresholding Strategies for Performance-Aware Client Selection in Federated Learning
[ACM] 2026-5-12 | A Systematic Explainable AI (XAI) Rule Translational Methodology for DDOS Detection
[ACM] 2026-5-12 | Bridging Social Work and Robotics: A Collaborative Service Framework for Smart Eldercare with IoT Integration
[ACM] 2026-5-12 | A Method of Excel Report Generating Based on ActiveX in LabVIEW
[ACM] 2026-5-12 | Research on the Construction of an Industrial Design Talent Training System for AI-Assisted Digital Prototype Iteration*
[ACM] 2026-5-12 | Design and Implementation of An Educational Institution Curriculum Management System Based on Django
[ACM] 2026-5-12 | DPU-Net for Privacy-Preserving Speech Enhancement: Dual-Path Modeling With Cross-Attention
[ACM] 2026-5-12 | Invasive Liver Cancer Recognition via Adaptive Transfer Learning
[ACM] 2026-5-12 | Time-Course Effect of Simulated Microgravity on Cognition and Neurovascular Changes in Elderly Mice
[ACM] 2026-5-12 | Explainable AI-Assisted Triage in Emergency Departments Using Multi-Modal Clinical Data
[ACM] 2026-5-11 | Enhancing Student Satisfaction with Student Services on The Digital Platform: A Case Study at a Vietnamese University
[ACM] 2026-5-11 | A Framework and Dataset for Contextual Post-OCR Correction
[IEEE] 2026-5-11 | Stochastic Analysis of Cramér-Rao Lower Bound for Positioning in mmWave-THz HetNets
[IEEE] 2026-5-11 | Capacity-Optimized Design of Reconfigurable Antenna Patterns for MU-MIMO Systems
[IEEE] 2026-5-11 | Next-Generation Solid-State Transformers for Powering Artificial Intelligence Data Centers: A Survey of Emerging Topologies
[IEEE] 2026-5-11 | IEEE Innovation Testbed
[IEEE] 2026-5-11 | A Calibration-Free Multi-Expert System for Automated Diopter Measurement: Overcoming Noise-Induced Binocular Inconsistency
[IEEE] 2026-5-11 | Variable Selection-Based Recursive Method for Adaptive Quality-Related Fault Detection_supp1-3689128.pdf
[IEEE] 2026-5-11 | Micro-Amplitude Wave Detection Based on Nonlinear Representation and Underdetermined Blind Reconstruction
[IEEE] 2026-5-11 | Online Meteorological Forecasting Model Using Multi-feature Information Gain PSO and Evolving Fuzzy Systems
[IEEE] 2026-5-11 | Multi-pass Volume Reconstruction for Freehand Ultrasound: Demonstration in Simulation, Phantom, and In
                    <i>Vivo</i>
                    Kidney
[IEEE] 2026-5-11 | Axial-Field Switched-Reluctance Machine for In-Wheel Motor Applications: Hybrid Analytical Modeling (Reluctance Network and formal Analytical solution) and Inductance Measurements
[IEEE] 2026-5-11 | Distributional Stability of Tangent-Linearized Gaussian Inference on Smooth Manifolds
[IEEE] 2026-5-11 | Capturability as Controlled-Invariant Sets: Recursive Feasibility for Variable-Stepping Time S2S NMPC
[IEEE] 2026-5-11 | A Phase Change Coupled Model for Plasma Arc Erosion on SF
                    <sub>6</sub>
                    Circuit Breaker Electrodes under Turbulent Flow
[IEEE] 2026-5-11 | Over-the-Air Diagnosis of Defective Elements in Intelligent Reflecting Surface
[IEEE] 2026-5-11 | Robust Manipulation of Deformable Linear Objects
[IEEE] 2026-5-11 | Tangram: Encryption-friendly SNARK framework under Pedersen committed engines_supp1-3691113.pdf
[IEEE] 2026-5-11 | 2026 IEEE 8th International Conference on Communications, Information System and Computer Engineering (CISCE)
[IEEE] 2026-5-11 | A Lightweight OBB-based SAR Ship Detection Network based on Feature Enhancement and Cross-Scale Fusion
[IEEE] 2026-5-11 | IEEE Microwave and Wireless Technology Letters publication
[IEEE] 2026-5-11 | Integrating Psychoanalysis with AI for Cognitive Threat Detection in Cyber Environments
[IEEE] 2026-5-11 | Multi-Objective Carbon-Aware Genetic Scheduling for Green University Data Centers
[IEEE] 2026-5-11 | AeroTrack - AI-Driven AQI Monitoring System
[IEEE] 2026-5-11 | Comparative Analysis using on Phishing URL’s using Machine Learning and Deep Learning
[IEEE] 2026-5-11 | SnoposNet: Sleep Posture Recognition from Snoring Signals
[IEEE] 2026-5-11 | A Method for Implementing Scene Annotation and Classification Based on Raw Scenario Files
[IEEE] 2026-5-11 | Micro-Expressions with Swin-T on CASME II: Spatial Heads and Temporal Modelling
[IEEE] 2026-5-11 | Multi-Service Routing Optimization in SDN Based on Multi-Agent Deep Reinforcement Learning
[IEEE] 2026-5-11 | Beyond Chunk-level RAG: Hierarchical Document-aware Retrieval for Indian Legal Judgments
[IEEE] 2026-5-11 | AMMHAS: An Adaptive Multimodal Framework for Mental Health Assessment with LLM-Based Interpretability
[IEEE] 2026-5-11 | A Two-Stage Transfer Learning EfficientNet-B0 Model for Dermatoscopic Image Classification
共写入 200 条记录，保存到 papers/paper2026-05-11.json。
论文获取成功，文件路径: papers/paper2026-05-11.json
正在筛选、翻译并发送邮件...
[NO] 1/200 | Coarse Menger property of quasi-minor excluded graphs and length spaces
[NO] 2/200 | Skill Premia and Pre-Marital Investments in Marriage Markets
[NO] 3/200 | Strategic Exploitation in LLM Agent Markets: A Simulation Framework for E-Commerce Trust
[NO] 4/200 | Guided Streaming Stochastic Interpolant Policy
[NO] 5/200 | Janus: Compiler-Based Defense Against Transient Execution Attacks Using ARM Hardware Primitives
[NO] 6/200 | Generalized i-boson model and boxed BUC plane partitions
[NO] 7/200 | Rethinking Loss Reweighting for Imbalance Learning as an Inverse Problem: A Neural Collapse Point of View
[NO] 8/200 | ExtraVAR: Stage-Aware RoPE Remapping for Resolution Extrapolation in Visual Autoregressive Models
[NO] 9/200 | A Statistical Framework for Learning Preferences from the Past
[NO] 10/200 | Only Train Once: Uncertainty-Aware One-Class Learning for Face Authenticity Detection
[NO] 11/200 | Instruction Adherence in Coding Agent Configuration Files: A Factorial Study of Four File-Structure Variables
[NO] 12/200 | Beyond Self-Play and Scale: A Behavior Benchmark for Generalization in Autonomous Driving
[NO] 13/200 | Neural-ISAM: A hybrid in-situ machine learning approach for complex manifold-based combustion models in LES of turbulent flames
[NO] 14/200 | Speech-based Psychological Crisis Assessment using LLMs
[NO] 15/200 | MUSDA: Multi-source Multi-modality Unsupervised Domain Adaptive 3D Object Detection for Autonomous Driving
[NO] 16/200 | On the residual missing mass of the Bullet Cluster
[NO] 17/200 | Differentially Private Sampling from Distributions via Wasserstein Projection
[NO] 18/200 | Valley-contrasting Spin Textures in Janus Metal Phosphochalcogenides
[NO] 19/200 | Measurement-Adapted Eigentask Representations for Photon-Limited Optical Readout
[NO] 20/200 | Geometry-induced pulse dynamics in a bulk-surface reaction-diffusion system for cell polarization
[NO] 21/200 | Diamond membranes: platform for photonic and opto-mechanical applications
[NO] 22/200 | Lakestream: A Consistent and Brokerless Data Plane for Large Foundation Model Training
[NO] 23/200 | Learning Graph Foundation Models on Riemannian Graph-of-Graphs
[NO] 24/200 | Geometric 4D Stitching for Grounded 4D Generation
[NO] 25/200 | Physical design of cold neutron direct geometry inelastic spectrometer at China Spallation Neutron Source
